Date_Post,Job_Title,Company_Name,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Category,Skills,Job_Description,Job_Requirement
16 days ago,E Commerce Specialist,Bnaia -,https://wuzzuf.net/jobs/p/Hmt5pnl3sv1M-E-Commerce-Specialist-Bnaia-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'2+,E Commerce Specialist,E-Marketing; Marketing; media; Microsoft Excel; Microsoft Office; photoshop; Search Engine,"The ECommerce Content Specialist is responsible for the product creation and display on the website in order to drive traffic conversion and revenue while maintaining our client s brand . 
 Setting up new products on the site including writing product descriptions 
 Editing uploading imagery and completing product attribution 
 Manage workflow using itemized lists for setting up a variety of products across different vendors and categories 
 Responsible for the creation and targeting of daily emails sales promotions and all email flows Accessing different vendor s assets from different locations using internal systems 
 Implement and maintain style guides in order to write original web content that is consistent with the brand and edits 
 Loads imagery that showcases the product in the optimal state 
 Collaborate across the team to ensure products are available for sale online by the time of product 
 Receipt Other responsibilities include workflow and system optimization product template 
 Creation and projects to support business initiatives as needed","Bachelors Degree 
 Excellent PC skills including strong knowledge in Microsoft Office Products 
 Advanced knowledge in Microsoft Excel VLOOKUP Pivot Tables Must be accurate and detail oriented 
 Excellent written and verbal communication skills 
 A plus Knowledge of Search Engines Marketing SEM Search Engine Optimization SEO 
 Wireframing Photoshop"
16 days ago,Export Sales,Link-Masr -,https://wuzzuf.net/jobs/p/0KHJorfSs3jE-Export-Sales-Link-Masr-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'1 - 5,Export Sales,Export; Export Sales; Logistics; Sales; sales skills; Textile Sales; Textile Industry,"Develop and implement effective sales strategies to expand export business. 
 Identify and target potential international customers through research and networking. 
 Manage the entire sales process, from lead generation to closing deals. 
 Negotiate contracts, pricing, and payment terms with international clients. 
 Coordinate with the logistics and operations teams to ensure smooth order fulfillment. 
 Maintain strong relationships with existing clients while continuously seeking new business opportunities. 
 Stay updated on international market trends, competitors, and industry regulations. 
 Prepare sales reports and forecasts to track performance and identify areas for improvement.","Bachelor's degree in business, Marketing, International Trade, or a related field. 
 Minimum1-5 yearsof experience in export sales, preferably in [Textile industry]. 
 Strong knowledge of international trade laws, export documentation, and logistics. 
 Excellent negotiation and communication skills. 
 Ability to build and maintain strong client relationships. 
 Good in English (additional languages are a plus). 
 Proficiency in Microsoft Office (Excel, Word, PowerPoint) and CRM software. 
 Ability to travel internationally as required."
16 days ago,construction finishing manager,NIG -,https://wuzzuf.net/jobs/p/SNXIjfiNV1a4-construction-finishing-manager-NIG-Cairo-Egypt,"New Capital, Cairo, Egypt ",Full Time,On-site,'10 - 15,construction finishing manager,Architecture; Construction Management; Management; Engineering,"Oversee and direct construction projects from conception to completion 
 Review the project in-depth to schedule deliverables and estimate costs 
 Oversee all onsite and offsite constructions to monitor compliance with building and safety regulations 
 Coordinate and direct construction workers and subcontractors 
 Select tools, materials and equipment and track inventory 
 Meet contractual conditions of performance 
 Review the work progress on daily basis 
 Prepare internal and external reports pertaining to job status 
 Plan ahead to prevent problems and resolve any emerging ones 
 Negotiate terms of agreements, draft contracts and obtain permits and licences 
 Analyse, manage and mitigate risks 
 Ensure quality construction standards and the use of proper construction techniques","Proven working experience in construction management 
 Advanced knowledge of construction management processes, means and methods 
 Expert knowledge of building products, construction details and relevant rules, regulations and quality standards 
 Understanding of all facets of the construction process 
 Familiarity with construction management software packages 
 Ability to plan and see the “big picture” 
 Competent in conflict and crisis management 
 Leadership and human resources management skills 
 Excellent time and project management skills 
 BS degree in construction management, architecture, engineering or related field"
16 days ago,Mobile Team Lead (Flutter),Rizme -,https://wuzzuf.net/jobs/p/aYe6xODc1XnN-Mobile-Team-Lead-Flutter-Rizme-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,Hybrid,'5+,Mobile Team Lead (Flutter),Mobile Development; Software Engineering,"A Mobile Team Lead 
 is responsible for leading a team of Flutter developers to design, 
 develop, and maintain mobile applications. They set technical direction, enforce best 
 practices, and ensure the team delivers high-quality, scalable, and performant apps. The role 
 involves collaborating with product managers, designers, and backend engineers to align 
 development with business objectives while mentoring and guiding the mobile team. 
 Responsibilities: 
 ● Lead and manage a team of Flutter developers. 
 ● Define mobile architecture and enforce best coding practices. 
 ● Oversee the mobile app development lifecycle from planning to deployment. 
 ● Conduct code reviews and provide technical mentorship. 
 ● Collaborate with cross-functional teams to ensure seamless app integration. 
 ● Optimize app performance and ensure maintainability. 
 ● Implement and maintain CI/CD pipelines for mobile development. 
 ● Stay up to date with Flutter updates and mobile development trends. 
 ● Troubleshoot technical issues and propose scalable solutions. 
 ● Foster a culture of continuous learning and improvement within the team.",No list items found in the requirements section.
16 days ago,Transportation Manager,Techno alex -,https://wuzzuf.net/jobs/p/R66OkYhdN48b-Transportation-Manager-Techno-alex-Alexandria-Egypt,"Smouha, Alexandria, Egypt ",Full Time,On-site,'7 - 10,Transportation Manager,Logistics; Maintenance; Management; Transportation; Transportation Management; Supply Chain; Communication skills,"The Transportation Manager is responsible for implementing safety rules and ensuring that company vehicle drivers comply with transportation regulations to prevent accidents. The role includes organizing transportation schedules to ensure that materials are delivered to sites on time without delays. 
 Key Responsibilities: 
 • Monitoring and tracking daily transportation lines and costs. 
 • Reporting necessary repairs and maintenance for transport vehicles and equipment. 
 • Taking preventive measures to ensure transportation safety while minimizing costs. 
 • Supervising and ensuring that transportation operations comply with company regulations. 
 • Conducting periodic inspections of company vehicles and resolving any related issues. 
 • Participating in material handling processes and ensuring transportation safety standards. 
 • Coordinating with other transportation entities if external trucks are needed. 
 • Overseeing daily reports on transportation operations. 
 • Monitoring internal maintenance activities for vehicles. 
 • Reviewing and approving necessary documents such as licenses and insurance policies. 
 • Ensuring compliance with company policies and procedures related to transportation.",No list items found in the requirements section.
16 days ago,Marketing Manager,Dayra Market  -,https://wuzzuf.net/jobs/p/CaCV3ENuNDnD-Marketing-Manager-Dayra-Market-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'3 - 10,Marketing Manager,Content Creation; Digital; Digital Marketing; digital marketing; E-Marketing; Content; Google Analytics; Editing,"About Dayra 
 Dayra is a fast-growing e-commerce startup revolutionizing the refurbished electronics market in Egypt. We help customers trade in, buy, and sell high-quality refurbished smartphones, gaming devices, and laptops at competitive prices. Backed by data-driven insights and cutting-edge technology, we ensure a seamless experience for both buyers and sellers. 
 We’re looking for a 
 Marketing Manager 
 to take charge of our brand, customer acquisition, and retention strategies as we scale rapidly. If you’re passionate about growth marketing, data-driven decision-making, and building a brand that customers love, this is the role for you! 
 Responsibilities 
 Develop and execute a 
 360° marketing strategy 
 to drive brand awareness, customer acquisition, and retention. 
 Manage 
 performance marketing campaigns 
 (Meta, Google Ads, TikTok, etc.) to optimize cost per acquisition and increase ROI. 
 Lead 
 social media and content marketing efforts 
 , working with designers and content creators. 
 Implement 
 growth hacking strategies 
 , leveraging data and experimentation to drive sales. 
 Oversee 
 CRM, email marketing, and retargeting 
 campaigns to maximize conversions. 
 Build strategic 
 partnerships and influencer collaborations 
 to expand our reach. 
 Conduct 
 market research and competitor analysis 
 to identify trends and opportunities. 
 Monitor 
 KPIs, analytics, and reporting 
 to measure marketing effectiveness and optimize campaigns.",No list items found in the requirements section.
16 days ago,Projects Coordination Engineer,Integrated Façade Solution -,https://wuzzuf.net/jobs/p/PZ9B9hntTsBk-Projects-Coordination-Engineer-Integrated-Façade-Solution-Cairo-Egypt,"Heliopolis, Cairo, Egypt ",Full Time,On-site,'2 - 4,Projects Coordination Engineer,Engineering; Project Coordination; civil; aluminum; English Language; MS Office; Project Management; English,"Lead and manage projects coordination tasks effectively . 
 Ensure that they are delivered on time and agreed quality standards . 
 The role also requires the Coordinator to contribute and develop the workflow for the project among departments & sites .","BSC of Engineering preferred “Civil or Architect”. 
 2–4-year overall experience preferred in Aluminum. 
 Very Good command in English Language. 
 Knowledge of MS office."
16 days ago,Telecommunication Support Engineer,Xceed Contact Center -,https://wuzzuf.net/jobs/p/TKSggAvArZSP-Telecommunication-Support-Engineer-Xceed-Contact-Center-Giza-Egypt,"Giza, Egypt ",Full Time,On-site,'0 - 1,Telecommunication Support Engineer,CCNA; CCNP; Computer Science; Telecommunication; communications; Engineering; Information Technology (IT); Telecommunication Systems Software,"24/7 first-layer support for Telecommunication Systems Software & Hardware. 
 Monitor Telecommunication Systems Hardware & Software. 
 check alarms and solve it. 
 Do the initial telecommunication support procedures. 
 Receive user’s issues and begin troubleshooting to solve problems. 
 Do daily, weekly and monthly Backup. 
 Do daily, weekly and monthly tasks. 
 Receive new requests from user and collect all relevant information for request implementation. 
 Relay issues and requests with full detail to the second layer support team after troubleshooting. 
 Implement delegated tasks from professional teams.","Bachelor's degree in Communications and Electronics Department or Computer Science. 
 Males Only. 
 Zero to 1 year of experience. 
 For CCNA  and CCNP, strong knowledge is a must. 
 Familiarize with programming and developing MSSQL, Databases, Virtual Machines, and cloud solutions."
16 days ago,Financial Section Head,Xceed Contact Center -,https://wuzzuf.net/jobs/p/MQYLNa0zokFJ-Financial-Section-Head-Xceed-Contact-Center-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,On-site,'5 - 7,Financial Section Head,Accounting; Finance; Financial Analysis; Management; Section head,"Job Duties & Responsibilities: 
 · Review Oracle modules (accounts receivable, accounts payable, fixed assets, general ledger) for accurate financial records. 
 · Prepare and review regular and ad-hoc financial reports (balance sheet, income statement, closing balance). 
 · Verify documents submitted by other departments for payment according to company policy. · Review purchase procedures, invoices, contracts, and financial procedures to ensure compliance. 
 · Provide management with clear views through financial statements and reports. 
 · Supervise invoicing and collection processes to meet contractual requirements with clients and vendors. 
 · Manage general ledger accounts and accounts payable to ensure proper cost allocation and documentation. 
 · Coordinate with internal and external auditors for financial audits. 
 · Conduct monthly bank reconciliations to ensure clear cash management. 
 · Oversee finance department workflow, reports, and filing. Requirements:",No list items found in the requirements section.
16 days ago,Area Manager,Pharma Mix -,https://wuzzuf.net/jobs/p/UJy5LpW0cKMi-Area-Manager-Pharma-Mix-Alexandria-Egypt,"Alexandria, Egypt ",Full Time,On-site,'6 - 20,Area Manager,English; Pharmaceutical; sales skills; Sales Target; Experience; Management; MEDICINE; Sales,"Achieves monthly, quarterly and total annual sales objectives in a way that doesn’t contradict the sales policy for Pharma Mix Company. 
 Monitoring the potentiality of each area, and its achievement in relation to its sales potentiality 
 Revising doctors’ specialty and number in each territory as well as their classification. 
 Managing the implication of marketing strategy settled by the marketing department, per product per specialty per territory. 
 Daily follow up with the field force supervisors to discuss and improve sales. 
 Develops, and retains our high performing Medical representatives/supervisors to Pharma Mix. 
 Inform his/her team about the company’s strategy and the updates to achieve the sales targets of the work team, and following their execution effectively. 
 Setting sales tactics with following up their execution, and evaluating them effectively within the follow up of the daily operations of the work team. 
 Following the sales and stocks of the distribution companies by the work team, evaluating the performance, and taking the proper corrective actions. 
 Participating in the selection and nomination of the work team members in accordance with the hiring regulations of the company. 
 Classifying and updating the database of the customers (doctors and pharmacists)/Doctors list of the work team according to the organizing policy of the company.","Minimum years of experience: From 4 to 6 years in the same field and or 2 years in the Sales Managerial Position. 
 B.Sc. in Pharmaceutical, Vet, Science or Medicine. 
 Good command of English language. 
 Residence in Alex"
